"gene","FC_RARA","FC_RARG","FC_Combo","category"
"Dido1",0.783320625482886,0,0,"RARA Unique (n=136)"
"Zc3h14",-0.612429618602352,0,0,"RARA Unique (n=136)"
"Nrn1",-0.82988415253901,0,0,"RARA Unique (n=136)"
"Acadsb",1.09433479451136,0,0,"RARA Unique (n=136)"
"Lifr",1.10332623155509,0,0,"RARA Unique (n=136)"
"Nae1",1.35654802252998,0,0,"RARA Unique (n=136)"
"Tecpr1",-1.32946175122146,0,0,"RARA Unique (n=136)"
"Ypel2",1.36317275787181,0,0,"RARA Unique (n=136)"
"Ubb",1.27010509371127,0,0,"RARA Unique (n=136)"
"Zfp655",-1.14090593803094,0,0,"RARA Unique (n=136)"
"Nek9",2.46190643153855,0,0,"RARA Unique (n=136)"
"Zfp362",-1.51545885618195,0,0,"RARA Unique (n=136)"
"Asah1",-0.602212200682515,0,0,"RARA Unique (n=136)"
"6330403K07Rik",-1.36669644038625,0,0,"RARA Unique (n=136)"
"Rnf168",2.49772508596,0,0,"RARA Unique (n=136)"
"Bptf",-0.543601851147599,0,0,"RARA Unique (n=136)"
"Dcun1d2",-0.891507522306907,0,0,"RARA Unique (n=136)"
"Elp3",3.46662692897896,0,0,"RARA Unique (n=136)"
"Gm47591",-0.809784133508922,0,0,"RARA Unique (n=136)"
"Dnaja4",-1.47020177497204,0,0,"RARA Unique (n=136)"
"Phykpl",-1.43800686228435,0,0,"RARA Unique (n=136)"
"Usp42",-1.48459242233872,0,0,"RARA Unique (n=136)"
"Vdac2",-0.9848459157001,0,0,"RARA Unique (n=136)"
"Zfp180",-1.37680192445448,0,0,"RARA Unique (n=136)"
"Pfkfb3",-0.824190263999767,0,0,"RARA Unique (n=136)"
"Foxo3",-0.65062097453385,0,0,"RARA Unique (n=136)"
"Gpr26",1.63595745783742,0,0,"RARA Unique (n=136)"
"Itch",0,0,0.804042418943475,"Combo Unique (n=173)"
"Zscan18",0,0,2.60552024061884,"Combo Unique (n=173)"
"Dpysl2",0,0,-0.640797118269592,"Combo Unique (n=173)"
"Exoc5",0,0,1.20031389584962,"Combo Unique (n=173)"
"Dele1",0,-1.70693919402207,0,"RARG Unique (n=163)"
"Trmt1l",0,1.5142904113394,0,"RARG Unique (n=163)"
"Paxbp1",0,0,0.580608987500075,"Combo Unique (n=173)"
"Stambp",0,0,-2.72829876800044,"Combo Unique (n=173)"
"Hmox2",0,-1.77515201891445,0,"RARG Unique (n=163)"
"Mphosph8",0,0,1.42597518568154,"Combo Unique (n=173)"
"Timm9",0,0,-1.244936613295,"Combo Unique (n=173)"
"Plaa",0,-1.2398006936348,0,"RARG Unique (n=163)"
"Fnip1",0,-0.862897686254367,0,"RARG Unique (n=163)"
"Elac2",0,-2.19049994950762,0,"RARG Unique (n=163)"
"Slk",0,1.5782712221117,0,"RARG Unique (n=163)"
"Tmem181a",0,1.54692507418545,0,"RARG Unique (n=163)"
"1110002L01Rik",0,0,-2.52903174311995,"Combo Unique (n=173)"
"Krt222",0,0,2.17924619049778,"Combo Unique (n=173)"
"Stxbp6",0,0,0.835442809155145,"Combo Unique (n=173)"
"Mapk8ip3",0,-0.552489753404243,0,"RARG Unique (n=163)"
"Mfhas1",0,0,1.31322017143396,"Combo Unique (n=173)"
"Rbck1",0,0,-2.26540500306445,"Combo Unique (n=173)"
"Sh3bgrl3",0,0,-3.78442502620924,"Combo Unique (n=173)"
"Tmem167",0,0,-1.43439017244177,"Combo Unique (n=173)"
"Cystm1",0,-1.65726421389644,0,"RARG Unique (n=163)"
"Spata5",0,1.10940098900885,0,"RARG Unique (n=163)"
"2610507B11Rik",0,0,-1.22848466509128,"Combo Unique (n=173)"
"Phf8",0,-1.24205762790967,0,"RARG Unique (n=163)"
"Slc35f1",0,-0.509226447026055,0,"RARG Unique (n=163)"
"Ppp6r1",0,2.75217513949439,0,"RARG Unique (n=163)"
"Dync1li1",0,-0.735143066368578,0,"RARG Unique (n=163)"
"Nedd8",0,0,-1.63043013995984,"Combo Unique (n=173)"
"Ube3b",0,-1.10189398894559,0,"RARG Unique (n=163)"
"Nmnat3",0,-3.08777707211858,0,"RARG Unique (n=163)"
"Crkl",0,-2.51770104688695,0,"RARG Unique (n=163)"
"Vwc2",0,0,3.82922896512792,"Combo Unique (n=173)"
"Hnrnpm",0,1.04336760726861,0,"RARG Unique (n=163)"
"Cage1",0,-2.55564344964781,0,"RARG Unique (n=163)"
"Ints14",0,-3.09342602740431,0,"RARG Unique (n=163)"
"Ddx54",0,0,-1.11011806200143,"Combo Unique (n=173)"
"Isca2",0,0,-1.94759523950072,"Combo Unique (n=173)"
"Btbd1",0,0,1.03680598835123,"Combo Unique (n=173)"
"Ppib",0,1.04980510256811,0,"RARG Unique (n=163)"
"Mtmr12",0,1.20561965671025,0,"RARG Unique (n=163)"
"Tiam1",0,0,0.888797703838656,"Combo Unique (n=173)"
"Ddah1",0,0,-1.42402578628313,"Combo Unique (n=173)"
"Rhbdd1",0,0,-1.75651723239518,"Combo Unique (n=173)"
"1700024B18Rik",0,3.07648140703037,0,"RARG Unique (n=163)"
"Gm15155",0,-0.621575482749132,0,"RARG Unique (n=163)"
