"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.593041551174102,-0.315044351924544,0.092,0.111,1,"Sae1"
0.593061266782797,0.178428816235274,0.36,0.311,1,"Chd6"
0.593194461046614,-0.262161888057753,0.124,0.1,1,"Cox7c"
0.593475051693265,0.193718569504921,0.3,0.267,1,"Lpgat1"
0.593808168017069,-0.298740214122999,0.072,0.089,1,"Ndufv2"
0.594112210537293,0.404165211132518,0.072,0.056,1,"Gm11149"
0.594112210537293,0.410068543775391,0.072,0.056,1,"Ik"
0.594112210537293,-0.776047634133346,0.064,0.078,1,"Stk24"
0.594112210537293,-1.04541516000104,0.064,0.078,1,"Gpam"
0.594284811273377,0.0503520247325882,0.884,0.856,1,"Slc8a1"
0.594362136806596,-0.399468522046863,0.052,0.067,1,"Trap1"
0.594376541762221,0.368026523041624,0.156,0.133,1,"Madd"
0.594582848353822,-0.0477436656158781,0.844,0.789,1,"Mapk10"
0.594623147493883,0.380611286779793,0.084,0.067,1,"Dynll2"
0.594642468819704,-0.729558328904418,0.096,0.111,1,"Jmy"
0.59480088709771,-0.2001244110336,0.2,0.222,1,"Thsd7a"
0.59500395543747,-0.364516095054411,0.22,0.233,1,"Mrtfa"
0.595515944349962,-0.200515110791293,0.112,0.133,1,"Heatr5b"
0.595598117073797,0.364365297706409,0.228,0.211,1,"Oga"
0.595638581445123,-0.140107087466559,0.392,0.322,1,"Sez6l"
0.595688000999281,-0.385093113690938,0.072,0.089,1,"Ttyh3"
0.595755501333906,-0.194550853004308,0.08,0.1,1,"Spats2"
0.595817736359297,0.149442470479418,0.276,0.244,1,"Ankrd28"
0.596539315149022,0.265855489915924,0.06,0.044,1,"Sh3glb2"
0.596539315149022,0.322515680101017,0.06,0.044,1,"Ints13"
0.596539315149022,-0.59711091706101,0.052,0.067,1,"Limk1"
0.596539315149022,-0.438276430186256,0.052,0.067,1,"Pbx4"
0.596539315149022,-0.426691445248656,0.052,0.067,1,"Klhdc1"
0.596985052886348,0.263234281715887,0.18,0.156,1,"Cep85l"
0.597384594397064,-0.177524628923389,0.188,0.156,1,"Trrap"
0.598058980720273,0.319926032763322,0.096,0.078,1,"Cramp1l"
0.598720117557055,0.167503340922675,0.06,0.044,1,"Kiz"
0.598720117557055,0.180965889034733,0.06,0.044,1,"Clptm1"
0.598720117557055,-0.490530120594856,0.052,0.067,1,"Tarsl2"
0.599022288088687,-0.030957726840537,0.844,0.811,1,"Cmss1"
0.599394175111842,0.119827709918361,0.124,0.1,1,"Wwp1"
0.599596382327841,-0.0771661728867139,0.06,0.078,1,"Cir1"
0.600091791842779,-0.733613383054052,0.064,0.078,1,"Zfp30"
0.600176809517479,0.379500687024844,0.084,0.067,1,"Kcnc3"
0.600806671352209,0.334813638431344,0.12,0.1,1,"E130308A19Rik"
0.600904528501783,0.199750165440037,0.06,0.044,1,"Lin7b"
0.600904528501783,0.132640146040423,0.06,0.044,1,"Echdc1"
0.600904528501783,0.182500282446375,0.06,0.044,1,"Kif1bp"
0.600904528501783,-0.304563861779293,0.052,0.067,1,"Gys1"
0.600904528501783,-0.466511074139845,0.052,0.067,1,"Nol11"
0.600934248818227,-0.155197167121431,0.436,0.456,1,"Erbb4"
0.601050612985188,0.319774277312548,0.108,0.089,1,"Arl6ip5"
0.601525224458032,-0.0135711463484403,0.616,0.633,1,"A830018L16Rik"
0.602033230249539,0.32228661264354,0.084,0.067,1,"Tmed9"
0.602091214817434,0.272667869129384,0.072,0.056,1,"Slc44a2"
0.603092532357301,0.316655437361742,0.06,0.044,1,"Pptc7"
0.603092532357301,0.241499734452685,0.06,0.044,1,"Rps12"
0.603092532357301,0.0209947085381943,0.06,0.044,1,"Nefl"
0.603092532357301,-0.473908256255417,0.052,0.067,1,"Polr2b"
0.603191928201675,-0.295450348022427,0.576,0.544,1,"Rtn1"
0.603234194406418,-0.35116647240812,0.072,0.089,1,"Arhgef28"
0.603505278350046,-0.255878449127681,0.104,0.122,1,"Washc2"
0.603629269458578,-0.319335818325577,0.148,0.167,1,"Riok3"
0.603821368275861,0.144986999984264,0.136,0.111,1,"Cpne1"
0.603821368275861,0.131081512661157,0.136,0.111,1,"Rilpl1"
0.60395574009469,0.26103464842072,0.12,0.1,1,"Nr1d2"
0.604057813266677,-0.482433188511499,0.084,0.1,1,"Parp1"
0.604096260509044,-0.225770484092651,0.32,0.322,1,"Sdk1"
0.604099246953593,-0.364536528732873,0.116,0.133,1,"Suds3"
0.604099246953593,-0.582090955150577,0.116,0.133,1,"Gtf3c1"
0.604266860420024,0.13582097007965,0.208,0.178,1,"Sec61a2"
0.604386697275578,-0.0598961621774925,0.088,0.067,1,"Calm3"
0.60441926249418,-0.376839750509404,0.184,0.2,1,"Desi2"
