"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","osteoblast differentiation","6","456","108","26481","3.88e-2","1.00e+0","3.23","1.00e+0","9.94e-1","1.11e-2","GO:0001649~osteoblast differentiation","TWIST2,IHH,ERH,ZFP9,SMAD5,ACVR2A"
"GOTERM_BP_DIRECT","maintenance of postsynaptic density structure","3","456","19","26481","4.15e-2","1.00e+0","9.17","1.00e+0","9.94e-1","4.00e-3","GO:0099562~maintenance of postsynaptic density structure","PSD,MAGI2,DLGAP1"
"GOTERM_BP_DIRECT","chondrocyte proliferation","3","456","19","26481","4.15e-2","1.00e+0","9.17","1.00e+0","9.94e-1","4.00e-3","GO:0035988~chondrocyte proliferation","EXT1,COMP,IHH"
"GOTERM_BP_DIRECT","positive regulation of apoptotic process","13","456","398","26481","4.36e-2","1.00e+0","1.90","1.00e+0","9.94e-1","2.14e-2","GO:0043065~positive regulation of apoptotic process","NCOA1,USP7,RARG,PRKDC,GATA6,NFATC3,PLA2G4A,UNC5C,RXRA,SPRY1,ARHGEF7,NTSR1,NSMAF"
"GOTERM_BP_DIRECT","regulation of embryonic development","4","456","46","26481","4.44e-2","1.00e+0","5.05","1.00e+0","9.94e-1","8.00e-3","GO:0045995~regulation of embryonic development","YY1,ZZZ3,INO80D,NOCT"
"GOTERM_BP_DIRECT","intracellular potassium ion homeostasis","3","456","20","26481","4.56e-2","1.00e+0","8.71","1.00e+0","9.94e-1","4.65e-3","GO:0030007~intracellular potassium ion homeostasis","SLC12A2,PRKACA,ATP1B1"
"GOTERM_BP_DIRECT","regulation of developmental process","4","456","47","26481","4.69e-2","1.00e+0","4.94","1.00e+0","9.94e-1","8.63e-3","GO:0050793~regulation of developmental process","BRD1,LMO4,GATA6,EPHB3"
"GOTERM_BP_DIRECT","embryonic digestive tract morphogenesis","3","456","21","26481","4.99e-2","1.00e+0","8.30","1.00e+0","9.94e-1","5.36e-3","GO:0048557~embryonic digestive tract morphogenesis","TCF7,IHH,OVOL2"
"GOTERM_BP_DIRECT","regulation of stem cell differentiation","3","456","21","26481","4.99e-2","1.00e+0","8.30","1.00e+0","9.94e-1","5.36e-3","GO:2000736~regulation of stem cell differentiation","MTA1,CHD3,DICER1"
"GOTERM_BP_DIRECT","genomic imprinting","3","456","21","26481","4.99e-2","1.00e+0","8.30","1.00e+0","9.94e-1","5.36e-3","GO:0071514~genomic imprinting","GABRB3,ZDBF2,GNAS"
"GOTERM_BP_DIRECT","erythrocyte maturation","3","456","21","26481","4.99e-2","1.00e+0","8.30","1.00e+0","9.94e-1","5.36e-3","GO:0043249~erythrocyte maturation","L3MBTL3,BRD1,MAEA"
"GOTERM_BP_DIRECT","activin receptor signaling pathway","3","456","21","26481","4.99e-2","1.00e+0","8.30","1.00e+0","9.94e-1","5.36e-3","GO:0032924~activin receptor signaling pathway","INHBB,ACVR1B,ACVR2A"
"GOTERM_BP_DIRECT","chemical synaptic transmission","7","456","154","26481","5.04e-2","1.00e+0","2.64","1.00e+0","9.94e-1","1.76e-2","GO:0007268~chemical synaptic transmission","GABRB3,FGF14,CHRNA7,DMXL2,CLSTN1,CACNA1A,DLGAP1"
"GOTERM_BP_DIRECT","negative regulation of nuclear-transcribed mRNA poly(A) tail shortening","2","456","3","26481","5.07e-2","1.00e+0","38.71","1.00e+0","9.94e-1","8.78e-4","GO:0060212~negative regulation of nuclear-transcribed mRNA poly(A) tail shortening","TENT4A,TENT4B"
"GOTERM_BP_DIRECT","heart morphogenesis","5","456","82","26481","5.29e-2","1.00e+0","3.54","1.00e+0","9.94e-1","1.37e-2","GO:0003007~heart morphogenesis","MYBPC3,MESP1,RXRA,FLRT2,SOS1"
"GOTERM_BP_DIRECT","neuropeptide signaling pathway","6","456","118","26481","5.32e-2","1.00e+0","2.95","1.00e+0","9.94e-1","1.65e-2","GO:0007218~neuropeptide signaling pathway","ADCYAP1,PTGDR2,CRH,SCG5,GPR83,NTSR1"
"GOTERM_BP_DIRECT","glycosaminoglycan biosynthetic process","3","456","22","26481","5.43e-2","1.00e+0","7.92","1.00e+0","9.94e-1","6.12e-3","GO:0006024~glycosaminoglycan biosynthetic process","HS3ST3B1,EXT1,HS3ST1"
